PMID,Title,Publication Date,Non-Academic Authors,Corresponding Author Email
40053698,Prospective Evaluation of Structure-Based Simulations Reveal Their Ability to Predict the Impact of Kinase Mutations on Inhibitor Binding.,2025,"Aziz M Rangwala (Department of Pharmacological Sciences, Stony Brook University Medical School, Stony Brook, New York 11794, United States.); Joseph P Bluck (Structural Biology & Computational Design, Research and Development, Pharmaceuticals, Bayer AG, 13342 Berlin, Germany.); Clara D Christ (Structural Biology & Computational Design, Research and Development, Pharmaceuticals, Bayer AG, 13342 Berlin, Germany.); Markus A Seeliger (Department of Pharmacological Sciences, Stony Brook University Medical School, Stony Brook, New York 11794, United States.)",Not Available
40053572,Hafnium-Doped Prussian Blue Nanoparticles with Homologous Tumor Targeting and Magnetic Resonance Imaging Ability for Enhanced Tumor Radiotherapy via Photothermal Therapy and Hypoxia Relief.,2025,"Ye Kuang (Fujian Key Laboratory of Drug Target Discovery and Structural and Functional Research, School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.); Yufang Chen (Fujian Key Laboratory of Drug Target Discovery and Structural and Functional Research, School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.); Xinying Liu (Fujian Key Laboratory of Drug Target Discovery and Structural and Functional Research, School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.); Baohui Liu (Fujian Key Laboratory of Drug Target Discovery and Structural and Functional Research, School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.); Yu Duan (Fujian Key Laboratory of Drug Target Discovery and Structural and Functional Research, School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.); Chaowei Hong (Fujian Key Laboratory of Drug Target Discovery and Structural and Functional Research, School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.); Changmai Chen (Fujian Key Laboratory of Drug Target Discovery and Structural and Functional Research, School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.); Wei Chen (Fujian Key Laboratory of Drug Target Discovery and Structural and Functional Research, School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.)",Not Available
40053482,c-MET tyrosine kinase inhibitors reverse multidrug resistance in breast cancer cells by targeting ABCG2 transporter.,2025,"Fatemeh Mosaffa (Biotechnology Research Center, Pharmaceutical Technology Institute, Mashhad University of Medical Sciences, Mashhad, Iran.); Luciano Saso (Department of Physiology and Pharmacology ""Vittorio Erspamer"", Sapienza University of Rome, P. le Aldo Moro 5, 00185 Rome, Italy.)",Not Available
40053076,Clofazimine enhances anti-PD-1 immunotherapy in glioblastoma by inhibiting Wnt6 signaling and modulating the tumor immune microenvironment.,2025,"Weiping Li (Department of Pharmacology, Shanxi Medical University Fenyang College, Fenyang, 032200, China.); Zhengbao Zhao (Department of Pharmacy, Shanxi Medical University, Taiyuan, 030001, China.); Tingli Qu (Department of Pharmacy, Shanxi Medical University, Taiyuan, 030001, China.)",Not Available
40052837,Treatment of Multiple Myeloma in Patients Refractory to Daratumumab/Anti-CD38 Monoclonal Antibodies: A Systematic Review.,2025,"Chia Jie Tan (Department of Pharmacotherapy, College of Pharmacy, University of Utah, Salt Lake City, Utah, USA.); Dylan Kacerek (Department of Pharmacotherapy, College of Pharmacy, University of Utah, Salt Lake City, Utah, USA.); Nathorn Chaiyakunapruk (Department of Pharmacotherapy, College of Pharmacy, University of Utah, Salt Lake City, Utah, USA.)",Not Available
40051496,Metabolic crossroads: unravelling immune cell dynamics in gastrointestinal cancer drug resistance.,2025,"Lakkakula Suhasini Sahithi (Department of Biotechnology, Guru Ghasidas Vishwavidyalaya, Bilaspur 495009, India.); Tuneer Khelkar (Department of Botany and Biotechnology, Govt. Kaktiya P G College, Jagdalpur 494001, India.)",Not Available
40050889,Repurposing pitavastatin and atorvastatin to overcome chemoresistance of metastatic colorectal cancer under high glucose conditions.,2025,"Wei-Ming Cheng (Program in Molecular Medicine, College of Life Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Po-Chen Li (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Minh Tran-Binh Nguyen (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Yu-Teng Lin (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Yu-Tang Huang (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Tai-Shan Cheng (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Thi-Huong Nguyen (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Thu-Ha Tran (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Tzu-Yi Huang (Program in Molecular Medicine, College of Life Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Thu-Huyen Hoang (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Sin-Yu Chen (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Yi-Shiou Chiou (Master Degree Program in Toxicology, College of Pharmacy, Kaohsiung Medical University, Kaohsiung, 807, Taiwan.); Peter Mu-Hsin Chang (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Yu-Feng Hu (Institute of Biopharmaceutical Sciences, College of Pharmaceutical Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan.); Chi-Ying F Huang (Program in Molecular Medicine, College of Life Sciences, National Yang Ming Chiao Tung University, Taipei, 112, Taiwan. cyhuang5@nycu.edu.tw.)",Not Available
40050048,Cell-intrinsic PD-L1 signaling drives immunosuppression by myeloid-derived suppressor cells through IL-6/Jak/Stat3 in PD-L1-high lung cancer.,2025,"Hanbyeol Kim (Department of Pharmacology, Seoul National University College of Medicine, Seoul, Korea (the Republic of).); Yingying Li (Department of Pharmacology, Seoul National University College of Medicine, Seoul, Korea (the Republic of).); Soo Hyun Lee (Department of Pharmacology, Seoul National University College of Medicine, Seoul, Korea (the Republic of).); Chul-Hwan Lee (Department of Pharmacology, Seoul National University College of Medicine, Seoul, Korea (the Republic of).)",Not Available
40049495,Time-performance relationship and the associated mechanism of tumor drug-efflux pump P-glycoprotein reversal induced by mild photothermal therapy.,2025,"Qin Shi (School of Pharmacy, Jiangsu Medical College, Yancheng 224005, China. Electronic address: sqzyf1314@163.com.); Jiyuan Zhou (Department of Pharmaceutics, China Pharmaceutical University, 639 Longmian Avenue, Nanjing 211198, China.); Jiejie Cheng (Department of Pharmaceutics, China Pharmaceutical University, 639 Longmian Avenue, Nanjing 211198, China.); Tingjie Yin (Department of Pharmaceutics, China Pharmaceutical University, 639 Longmian Avenue, Nanjing 211198, China. Electronic address: cookey_89ytj@163.com.)",Not Available
40049296,Strategic advancements in targeting the PI3K/AKT/mTOR pathway for Breast cancer therapy.,2025,"Sravani Ramisetty (Department of Medical Oncology & Therapeutics Research, Beckman Research Institute of City of Hope, Comprehensive Cancer Center and National Medical Center, Duarte, CA 91010, USA.); Prakash Kulkarni (Department of Medical Oncology & Therapeutics Research, Beckman Research Institute of City of Hope, Comprehensive Cancer Center and National Medical Center, Duarte, CA 91010, USA.); Ravi Salgia (Department of Medical Oncology & Therapeutics Research, Beckman Research Institute of City of Hope, Comprehensive Cancer Center and National Medical Center, Duarte, CA 91010, USA.); Sharad S Singhal (Department of Medical Oncology & Therapeutics Research, Beckman Research Institute of City of Hope, Comprehensive Cancer Center and National Medical Center, Duarte, CA 91010, USA. Electronic address: ssinghal@coh.org.)",Not Available
